benchmark_family,metric_name,our_value,paper_value,paper_name,comparator_name,direction,unit,beats_paper,delta,dataset_scope,protocol_match_level,n_total,n_computable,n_not_computable,required_inputs_missing,notes
B_structure_reproduction,structure_match_rate,,0.6392,Lang2Str,lang2str_mp20_match_rate,higher_is_better,,,,MP-20,not_comparable,22,0,22,structure_match,Lang2Str MP-20 MR 63.92%; not_computable
D_relaxation,relaxed_rms_dist,,0.055,Lang2Str,lang2str_mp20_relaxed_rmse,lower_is_better,,,,MP-20,not_comparable,22,0,22,"rms_dist_after,relaxed_rms_dist",Lang2Str relaxed RMSE 0.055; not_computable
B_structure_reproduction,mean_rms_dist,,0.076,Lang2Str,lang2str_mp20_rmse,lower_is_better,,,,MP-20,not_comparable,22,0,22,rms_dist,Lang2Str MP-20 RMSE 0.076; not_computable
B_structure_reproduction,structure_match_rate,,0.2836,Lang2Str,lang2str_mpts52_match_rate,higher_is_better,,,,MPTS-52,not_comparable,22,0,22,structure_match,Lang2Str MPTS-52 MR 28.36%; not_computable
B_structure_reproduction,mean_rms_dist,,0.1424,Lang2Str,lang2str_mpts52_rmse,lower_is_better,,,,MPTS-52,not_comparable,22,0,22,rms_dist,Lang2Str MPTS-52 RMSE 0.1424; not_computable
C_mlip_stability,predicted_ehull_rate_0_15,,0.49,Crystal-text LLM,llama2_70b_metastable_49,higher_is_better,,,,paper_reported,not_comparable,22,0,22,predicted_energy_above_hull,LLaMA-2 70B metastable rate 49%; not_computable
A_validity,min_distance_pass_rate,1.0,0.5,CrystaLLM / Chemeleon,min_distance_0_5_crystallm,threshold_lower,angstrom,True,0.5,paper_reported,contextual_only,22,17,5,,Minimum distance >0.5 A
A_validity,pre_dft_validity_rate,0.8636363636363636,0.9,Crystal-text LLM / Gruver et al.,validity_gruver_90,higher_is_better,,False,-0.036363636363636376,paper_reported,contextual_only,22,22,0,,Crystal-text LLM physical validity ~90%; Contextual physical-validity comparator.
A_validity,parse_validity_rate,1.0,,,,,,,,,,22,22,0,,
A_validity,bad_contact_rate,0.13636363636363635,,,,,,,,,,22,22,0,,
A_validity,median_min_distance,1.9918584287042087,,,,,angstrom,,,,,22,17,5,,
B_structure_reproduction,anonymous_match_rate,,,,,,,,,,,22,0,22,anonymous_match,not_computable
B_structure_reproduction,supercell_match_rate,,,,,,,,,,,22,0,22,supercell_match,not_computable
B_structure_reproduction,median_rms_dist,,,,,,,,,,,22,0,22,rms_dist,not_computable
B_structure_reproduction,best_rms_dist,,,,,,,,,,,22,0,22,rms_dist,not_computable
B_structure_reproduction,best_of_k_mlip_score,,,,,,,,,,,22,0,22,"mlip_energy_mean,benchmark_id",not_computable
B_structure_reproduction,best_of_k_relaxed_rms,,,,,,,,,,,22,0,22,"rms_dist_after,relaxed_rms_dist,benchmark_id",not_computable
D_relaxation,rmse_improvement,,,,,,,,,,,22,0,22,"rms_dist_before,rms_dist_after",not_computable
C_mlip_stability,predicted_ehull_rate_0_00,,,,,,,,,,,22,0,22,predicted_energy_above_hull,not_computable
C_mlip_stability,predicted_ehull_rate_0_05,,,,,,,,,,,22,0,22,predicted_energy_above_hull,not_computable
C_mlip_stability,predicted_ehull_rate_0_10,,,,,,,,,,,22,0,22,predicted_energy_above_hull,not_computable
C_mlip_stability,mlip_consensus_stable_rate,,,,,,,,,,,22,0,22,mlip_consensus_stable_flag,not_computable
C_mlip_stability,mlip_disagreement_rate,,,,,,,,,,,22,0,22,mlip_disagreement_flag,not_computable
C_mlip_stability,within_threshold_count,,,,,,,,,,,22,0,22,predicted_energy_above_hull,not_computable
D_relaxation,median_energy_drop,,,,,,,,,,,22,0,22,energy_drop_per_atom,not_computable
D_relaxation,median_max_force_before,,,,,,,,,,,22,0,22,max_force_before,not_computable
D_relaxation,median_max_force_after,,,,,,,,,,,22,0,22,max_force_after,not_computable
D_relaxation,force_threshold_success_rate_0_20,,,,,,,,,,,22,0,22,max_force_after,not_computable
D_relaxation,force_threshold_success_rate_0_10,,,,,,,,,,,22,0,22,max_force_after,not_computable
D_relaxation,rms_before,,,,,,,,,,,22,0,22,rms_dist_before,not_computable
D_relaxation,rms_after,,,,,,,,,,,22,0,22,"rms_dist_after,relaxed_rms_dist",not_computable
D_relaxation,rms_improvement_rate,,,,,,,,,,,22,0,22,"rms_dist_before,rms_dist_after",not_computable
D_relaxation,collapse_rate,,,,,,,,,,,22,0,22,"relax_error,volume,relaxed_volume",not_computable
E_property,band_gap_mae,,,,,,,,,,,22,0,22,band_gap_error,not_computable
E_property,target_property_mae,,,,,,,,,,,22,0,22,property_error,not_computable
E_property,property_hit_rate_within_tolerance,,,,,,,,,,,22,0,22,property_target_ok,not_computable
