benchmark_family,metric_name,our_value,paper_value,paper_name,comparator_name,direction,unit,beats_paper,delta,dataset_scope,protocol_match_level,n_total,n_computable,n_not_computable,required_inputs_missing,notes
C_mlip_stability,predicted_ehull_rate_0_15,,0.49,Crystal-text LLM,llama2_70b_metastable_49,higher_is_better,,,,paper_reported,not_comparable,27,0,27,predicted_energy_above_hull,LLaMA-2 70B metastable rate 49%; not_computable
A_validity,min_distance_pass_rate,,0.5,CrystaLLM / Chemeleon,min_distance_0_5_crystallm,threshold_lower,angstrom,,,paper_reported,not_comparable,27,0,27,min_distance,Minimum distance >0.5 A
A_validity,pre_dft_validity_rate,0.0,0.9,Crystal-text LLM / Gruver et al.,validity_gruver_90,higher_is_better,,False,-0.9,paper_reported,contextual_only,27,27,0,,Crystal-text LLM physical validity ~90%; Contextual physical-validity comparator.
A_validity,parse_validity_rate,1.0,,,,,,,,,,27,27,0,,
A_validity,bad_contact_rate,0.0,,,,,,,,,,27,27,0,,
A_validity,median_min_distance,,,,,,angstrom,,,,,27,0,27,min_distance,
B_structure_reproduction,anonymous_match_rate,0.0,,,,,,,,,,27,15,12,,
B_structure_reproduction,supercell_match_rate,0.0,,,,,,,,,,27,15,12,,
B_structure_reproduction,median_rms_dist,,,,,,,,,,,27,0,27,rms_dist,
B_structure_reproduction,best_rms_dist,,,,,,,,,,,27,0,27,rms_dist,
B_structure_reproduction,best_of_k_mlip_score,,,,,,,,,,,27,0,27,"mlip_energy_mean,benchmark_id",not_computable
B_structure_reproduction,best_of_k_relaxed_rms,,,,,,,,,,,27,0,27,"rms_dist_after,relaxed_rms_dist,benchmark_id",not_computable
D_relaxation,rmse_improvement,,,,,,,,,,,27,0,27,"rms_dist_before,rms_dist_after",not_computable
C_mlip_stability,predicted_ehull_rate_0_00,,,,,,,,,,,27,0,27,predicted_energy_above_hull,not_computable
C_mlip_stability,predicted_ehull_rate_0_05,,,,,,,,,,,27,0,27,predicted_energy_above_hull,not_computable
C_mlip_stability,predicted_ehull_rate_0_10,,,,,,,,,,,27,0,27,predicted_energy_above_hull,not_computable
C_mlip_stability,mlip_consensus_stable_rate,,,,,,,,,,,27,0,27,mlip_consensus_stable_flag,not_computable
C_mlip_stability,mlip_disagreement_rate,,,,,,,,,,,27,0,27,mlip_disagreement_flag,not_computable
C_mlip_stability,within_threshold_count,,,,,,,,,,,27,0,27,predicted_energy_above_hull,not_computable
D_relaxation,median_energy_drop,,,,,,,,,,,27,0,27,energy_drop_per_atom,not_computable
D_relaxation,median_max_force_before,,,,,,,,,,,27,0,27,max_force_before,not_computable
D_relaxation,median_max_force_after,,,,,,,,,,,27,0,27,max_force_after,not_computable
D_relaxation,force_threshold_success_rate_0_20,,,,,,,,,,,27,0,27,max_force_after,not_computable
D_relaxation,force_threshold_success_rate_0_10,,,,,,,,,,,27,0,27,max_force_after,not_computable
D_relaxation,rms_before,,,,,,,,,,,27,0,27,rms_dist_before,not_computable
D_relaxation,rms_after,,,,,,,,,,,27,0,27,"rms_dist_after,relaxed_rms_dist",not_computable
D_relaxation,rms_improvement_rate,,,,,,,,,,,27,0,27,"rms_dist_before,rms_dist_after",not_computable
D_relaxation,collapse_rate,,,,,,,,,,,27,0,27,"relax_error,volume,relaxed_volume",not_computable
E_property,band_gap_mae,,,,,,,,,,,27,0,27,band_gap_error,
E_property,target_property_mae,,,,,,,,,,,27,0,27,property_error,
E_property,property_hit_rate_within_tolerance,0.0,,,,,,,,,,27,27,0,,
